frame,time_sec,x,y,speed,heading_rad,heading_deg,articulation_rad,articulation_deg
25000,25.0,40.7592,23.3654,1.9985,1.4319,82.0398,-0.6772,-38.7998
25100,25.1,40.7776,23.5644,1.9986,1.5301,87.6699,0.9750,55.8646
25200,25.2,40.7911,23.7637,1.9986,1.4736,84.4336,-0.7033,-40.2933
25300,25.3,40.8013,23.9633,1.9986,1.5711,90.0192,0.9713,55.6523
25400,25.4,40.8066,24.1630,1.9987,1.5141,86.7501,-0.7082,-40.5777
25500,25.5,40.8089,24.3628,1.9987,1.6100,92.2466,0.9638,55.2206
25600,25.6,40.8064,24.5627,1.9988,1.5530,88.9796,-0.7079,-40.5587
25700,25.7,40.8010,24.7624,1.9988,1.6479,94.4171,0.9587,54.9295
25800,25.8,40.7911,24.9620,1.9988,1.5902,91.1096,-0.7139,-40.9061
25900,25.9,40.7783,25.1614,1.9989,1.6840,96.4846,0.9532,54.6166
26000,26.0,40.7613,25.3605,1.9989,1.6255,93.1335,-0.7204,-41.2772
26100,26.1,40.7415,25.5594,1.9989,1.7184,98.4562,0.9486,54.3506
26200,26.2,40.7177,25.7578,1.9990,1.6589,95.0459,-0.7291,-41.7738
26300,26.3,40.6915,25.9559,1.9990,1.7509,100.3203,0.9443,54.1016
26400,26.4,40.6614,26.1535,1.9990,1.6903,96.8444,-0.7385,-42.3158
26500,26.5,40.6290,26.3507,1.9990,1.7816,102.0763,0.9404,53.8807
26600,26.6,40.5929,26.5473,1.9991,1.7196,98.5281,-0.7488,-42.9029
26700,26.7,40.5548,26.7434,1.9991,1.8103,103.7223,0.9369,53.6823
26800,26.8,40.5132,26.9390,1.9991,1.7470,100.0979,-0.7594,-43.5095
26900,26.9,40.4698,27.1340,1.9991,1.8371,105.2590,0.9339,53.5069
27000,27.0,40.4232,27.3284,1.9992,1.7725,101.5559,-0.7701,-44.1246
27100,27.1,40.3748,27.5223,1.9992,1.8621,106.6882,0.9312,53.3527
27200,27.2,40.3235,27.7155,1.9992,1.7960,102.9050,-0.7808,-44.7362
27300,27.3,40.2706,27.9082,1.9992,1.8852,108.0123,0.9288,53.2184
27400,27.4,40.2149,28.1002,1.9993,1.8177,104.1489,-0.7913,-45.3365
27500,27.5,40.1580,28.2918,1.9993,1.9065,109.2349,0.9268,53.1025
27600,27.6,40.0983,28.4825,1.9993,1.8377,105.2921,-0.8014,-45.9190
27700,27.7,40.0375,28.6729,1.9993,1.9261,110.3599,0.9251,53.0033
27800,27.8,39.9743,28.8626,1.9993,1.8560,106.3390,-0.8112,-46.4795
27900,27.9,39.9101,29.0518,1.9994,1.9441,111.3914,0.9236,52.9194
28000,28.0,39.8435,29.2403,1.9994,1.8726,107.2945,-0.8206,-47.0147
28100,28.1,39.7762,29.4285,1.9994,1.9606,112.3342,0.9224,52.8491
28200,28.2,39.7067,29.6159,1.9994,1.8878,108.1636,-0.8294,-47.5226
28300,28.3,39.6365,29.8031,1.9994,1.9756,113.1929,0.9214,52.7911
28400,28.4,39.5643,29.9895,1.9994,1.9016,108.9515,-0.8378,-48.0022
28500,28.5,39.4915,30.1757,1.9995,1.9892,113.9722,0.9206,52.7440
28600,28.6,39.4169,30.3611,1.9995,1.9140,109.6631,-0.8457,-48.4528
28700,28.7,39.3419,30.5464,1.9995,2.0015,114.6771,0.9199,52.7063
28800,28.8,39.2651,30.7309,1.9995,1.9252,110.3035,-0.8530,-48.8745
28900,28.9,39.1880,30.9154,1.9995,2.0126,115.3122,0.9194,52.6770
29000,29.0,39.1092,31.0991,1.9995,1.9352,110.8775,-0.8599,-49.2675
29100,29.1,39.0303,31.2828,1.9995,2.0223,115.8690,0.9177,52.5815
29200,29.2,38.9493,31.4655,1.9996,1.9503,111.7466,-0.8236,-47.1888
29300,29.3,38.8678,31.6480,1.9996,2.0353,116.6168,0.9058,51.8988
29400,29.4,38.7836,31.8294,1.9996,1.9723,113.0043,-0.7576,-43.4093
29500,29.5,38.6982,32.0101,1.9996,2.0564,117.8205,0.9004,51.5882
29600,29.6,38.6097,32.1894,1.9996,1.9993,114.5537,-0.7076,-40.5443
29700,29.7,38.5195,32.3678,1.9996,2.0824,119.3148,0.8948,51.2661
29800,29.8,38.4260,32.5445,1.9996,2.0301,116.3143,-0.6659,-38.1560
29900,29.9,38.3305,32.7201,1.9996,2.1123,121.0271,0.8898,50.9803
30000,30.0,38.2314,32.8938,1.9997,2.0632,118.2118,-0.6352,-36.3970
30100,30.1,38.1302,33.0662,1.9997,2.1446,122.8784,0.8850,50.7041
30200,30.2,38.0254,33.2365,1.9997,2.0976,120.1862,-0.6140,-35.1820
30300,30.3,37.9183,33.4053,1.9997,2.1783,124.8099,0.8804,50.4440
30400,30.4,37.8078,33.5719,1.9997,2.1326,122.1895,-0.6014,-34.4550
30500,30.5,37.6946,33.7367,1.9997,2.2167,127.0086,0.9007,51.6035
30600,30.6,37.5781,33.8992,1.9997,2.1661,124.1082,-0.6495,-37.2145
30700,30.7,37.4592,34.0599,1.9997,2.2541,129.1510,0.9226,52.8612
30800,30.8,37.3373,34.2184,1.9997,2.1967,125.8604,-0.7112,-40.7476
30900,30.9,37.2133,34.3752,1.9997,2.2872,131.0471,0.9361,53.6339
31000,31.0,37.0864,34.5297,1.9997,2.2269,127.5923,-0.7353,-42.1319
31100,31.1,36.9575,34.6825,1.9997,2.3210,132.9818,0.9543,54.6772
31200,31.2,36.8257,34.8328,1.9998,2.2565,129.2885,-0.7686,-44.0396
31300,31.3,36.6924,34.9818,1.9998,2.3501,134.6513,0.9519,54.5424
31400,31.4,36.5563,35.1283,1.9998,2.2856,130.9540,-0.7692,-44.0707
31500,31.5,36.4187,35.2733,1.9998,2.3782,136.2634,0.9472,54.2708
31600,31.6,36.2786,35.4159,1.9998,2.3139,132.5739,-0.7681,-44.0091
31700,31.7,36.1370,35.5571,1.9998,2.4059,137.8453,0.9438,54.0755
31800,31.8,35.9930,35.6958,1.9998,2.3411,134.1347,-0.7710,-44.1731
31900,31.9,35.8477,35.8331,1.9998,2.4324,139.3676,0.9403,53.8756
32000,32.0,35.7001,35.9679,1.9998,2.3671,135.6270,-0.7750,-44.4038
